"","PU_ID","PU_Lat","PU_Lon","Country","Ecoregion","Management","Habitat","Exposure","Islands","Observer","Lon","Lat","Order","Depth","Year","Month","Day","Genera","Colonies","Number_colonies","Number_genera","Perc_bleach","Bleach_Ind","Suscept","Diversity","Perc_hard","SST_Mean","SST_Median","SST_Skewness","SST_Kurtosis","SSTRateofRise","SST_sd","SST_bimodality","cumDHW","GlobalStressModel","ClimateStressModel","PARmax","Calcite","PH","Dis_oxygen","Diff_attenuation","mean.npp","mean.waveNRJ","Sediment_Index","clusters","ChlorA_mean","ChlorA_median","ChlorA_max","ChlorA_min","ChlA_mean_old","Current_vel_mean","Carbonphyto_mean","PP_mean","Salinity_mean","Distance_to_shore_km","TT_pop_mins","TT_pop_hrs","TT_market_min","TT_market_hrs","Grav_NC","Grav_cities","Grav_tot","Grav_NP","andrello_cumulative_score","andrello_grv_NC","andrello_pop_cnt","andrello_reef_value","andrello_sediments","andrello_nutrients","byr_ovrl_climate_score","byr_hist_thrml_stress","byr_future_cond","byr_recent_thrml_cond","byr_connectivity","byr_cyclones","Retention","Outdegree","Indegree","Netflow","Coralcover","historical_sst_max","Distance_to_port","Acanthastrea","Acropora","Alveopora","Anomastrea","Astreopora","Blastomussa","Caulastrea","Coeloseris","Coscinaraea","Ctenactis","Cycloseris","Cyphastrea","Diploastrea","Echinophyllia","Echinopora","Euphyllia","Favia","Favites","Fungia","Galaxea.astreata","Galaxea.fascicularis","Gardineroseris","Goniastrea","Goniopora","Gyrosmilia","Halomitra","Heliopora","Herpolitha","Hydnophora","Isopora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Merulina","Millepora","Montastrea","Montipora","Mycedium","Oulastrea","Oulophyllia","Oxypora","Pachyseris","Pavona","Pectinia","Physogyra","Platygyra","Plerogyra","Plesiastrea","Pocillopora","Podabacia","Polyphyllia","Porites.branching","Porites.massive","Psammocora","Pseudosiderastrea","Sandalolitha","Scolymia","Seriatopora","Stylocoeniella","Stylophora","Symphyllia","Synarea","Trachyphyllia","Tubastrea","Tubipora","Turbinaria","Number_of_colonies","Number_of_genera"
"1",7,-5.490011,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Crest","Exposed","Continent","Tim",39.07250278,-5.495002778,487,11,2019,12,11,35,362,362,35,0,0,15.72423229,0.913571014,73.33333333,27.3023776,27.435,-0.128135763,-0.80332956,0.019214343,1.230509196,0.46255616,24.13326328,0.796899974,0.596375003,54.74700069,0.00107525,8.21750021,4.749500036,0.09475,1139.112671,3.714320898,0.550000012,1,0.506539547,0.465182036,0.667037414,0.417576426,0.516500011,0.5419915,0.8056435,0.006418,35.16764625,7.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.546970085,32.38792034,28.86204243,0,53540.00781,8.388602257,0.15708,0.76266,0.16531,1.14494,1.05591,0.76178,14,74.75,98.25,0.144498484,45,30.68310928,12.76007896,1,41,0,0,0,0,0,0,0,0,0,0,0,3,45,0,4,1,45,1,6,0,2,0,0,9,0,2,2,0,2,1,1,3,4,3,3,0,7,2,1,2,28,6,0,2,7,0,0,4,0,0,22,10,0,0,0,0,49,0,2,0,38,0,0,3,0,362,35
"2",7,-5.490011,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Nyawira",39.0656,-5.4979,484.5,2,2012.5,10,14,21.5,256.5,256.5,21.5,0,0,15.841740755,0.854226533,31.5,27.3023776,27.435,-0.128135763,-0.80332956,0.019214343,1.230509196,0.46255616,24.13326328,0.796899974,0.596375003,54.74700069,0.00107525,8.21750021,4.749500036,0.09475,1139.112671,3.714320898,0.550000012,1,0.506539547,0.465182036,0.667037414,0.417576426,0.516500011,0.5419915,0.8056435,0.006418,35.16764625,7.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.546970085,32.38792034,28.86204243,0,53540.00781,8.388602257,0.15708,0.76266,0.16531,1.14494,1.05591,0.76178,14,74.75,98.25,0.144498484,45,30.68310928,12.76007896,0,30.5,0.5,0,6.5,0,0,0,0.5,0,0,3,0,0,2.5,0,15,16,0,0,18,0,4,0,0,0,0,0,3,0,0.5,3,0,0,0,20,0.5,3.5,0,0,1.5,0,0,1.5,0,0,6,0,0,10.5,0,0,4,52.5,0,0,0,0,0.5,0,0.5,0,52.5,0,0,0,0,256,22
"3",7,-5.490011,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Exposed","Continent","Nyawira",39.07372,-5.49507,486,4,2015,9,19,25,418,418,25,0.717703349,0.119617225,16.61802368,0.895171814,69.16666667,27.3023776,27.435,-0.128135763,-0.80332956,0.019214343,1.230509196,0.46255616,24.13326328,0.796899974,0.596375003,54.74700069,0.00107525,8.21750021,4.749500036,0.09475,1139.112671,3.714320898,0.550000012,1,0.506539547,0.465182036,0.667037414,0.417576426,0.516500011,0.5419915,0.8056435,0.006418,35.16764625,7.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.546970085,32.38792034,28.86204243,0,53540.00781,8.388602257,0.15708,0.76266,0.16531,1.14494,1.05591,0.76178,14,74.75,98.25,0.144498484,45,30.68310928,12.76007896,0,66,0,0,0,0,0,0,0,0,0,0,0,1,53,0,11,4,40,73,18,0,0,0,0,5,0,0,6,0,1,1,0,15,0,0,2,0,2,0,0,4,0,2,0,0,4,0,0,14,0,0,44,3,0,0,0,0,11,0,1,0,34,0,0,3,0,418,25
"4",7,-5.490011,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Sheltered","Continent","Nyawira",39.06555,-5.49793,482.5,3,2017.5,11,7.5,25.5,256,256,25.5,0.579191882,0.0965319805,16.979098685,0.89141818,43,27.3023776,27.435,-0.128135763,-0.80332956,0.019214343,1.230509196,0.46255616,24.13326328,0.796899974,0.596375003,54.74700069,0.00107525,8.21750021,4.749500036,0.09475,1139.112671,3.714320898,0.550000012,1,0.506539547,0.465182036,0.667037414,0.417576426,0.516500011,0.5419915,0.8056435,0.006418,35.16764625,7.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.546970085,32.38792034,28.86204243,0,53540.00781,8.388602257,0.15708,0.76266,0.16531,1.14494,1.05591,0.76178,14,74.75,98.25,0.144498484,45,30.68310928,12.76007896,0,33,2.5,0,6,0,0,0,0,0,0,0,0.5,0,2.5,0,11,14.5,0.5,0,27,1.5,7,0.5,0,0,0,0,1,0,3.5,1.5,0,0.5,0,25,2.5,3.5,0,0,1.5,0,0,1.5,6.5,0,4,0,0,12.5,0,0,3.5,55,0,0,0,0,6,0,1.5,1,18,0,0,0,1,256,26
"5",10,-5.512514,39.054253,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Nyawira",39.0625,-5.508,479.666666666667,1.5,2015,11,8.66666666666667,26.3333333333333,355.666666666667,355.666666666667,26.6666666666667,0.169635284,0.0282725473333333,16.4596554033333,0.916483897,57.6944444433333,27.32197979,27.455,-0.134548179,-0.793681303,0.020050736,1.225478369,0.461297272,25.34290148,0.818375006,0.629000008,55.39500046,0.001747,8.218000412,4.750999928,0.114,1126.355957,3.27093792,0.550000012,1,0.77819452,0.70052138,1.011242205,0.651417086,0.697000027,0.690454,1.384832,0.011683,35.102688,5.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.607081471,21.11586101,3877.740891,0,38477.10547,6.731859684,0.15224,0.71818,0.16802,1.05045,1.05591,0.76178,183.75,51.5,112.75,0.011721459,48,30.68310928,12.38798974,1,35,1,0,0.666666666666667,0,0,0,0,0,0,1.66666666666667,1,0.333333333333333,11.3333333333333,0,12.3333333333333,9,5.33333333333333,27,29,0,12,5,0,0,0,0.333333333333333,13.3333333333333,0,0.333333333333333,3.66666666666667,0,1.33333333333333,0.333333333333333,38,7,5.33333333333333,0.333333333333333,0,1,0,0,2.66666666666667,0,0,17.3333333333333,0,0,7.33333333333333,0,0,26.6666666666667,54.6666666666667,0,0,0,0,4.66666666666667,0,0,1,18,0,0,0,0.666666666666667,356,27
"6",10,-5.512514,39.054253,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Tim",39.0625,-5.508,479,1.5,2015,9,17,29,313,313,29,0,0,17.26863317,0.928150742,41.42857143,27.32197979,27.455,-0.134548179,-0.793681303,0.020050736,1.225478369,0.461297272,25.34290148,0.818375006,0.629000008,55.39500046,0.001747,8.218000412,4.750999928,0.114,1126.355957,3.27093792,0.550000012,1,0.77819452,0.70052138,1.011242205,0.651417086,0.697000027,0.690454,1.384832,0.011683,35.102688,5.4,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.607081471,21.11586101,3877.740891,0,38477.10547,6.731859684,0.15224,0.71818,0.16802,1.05045,1.05591,0.76178,183.75,51.5,112.75,0.011721459,48,30.68310928,12.38798974,1,35,0,0,3,0,0,0,0,0,0,3,1,0,13,0,28,9,8,32,25,1,3,6,0,1,0,0,9,0,0,4,0,2,0,24,0,1,0,0,1,0,0,1,0,0,18,0,0,15,0,0,14,37,0,0,0,0,3,0,1,0,14,0,0,0,0,313,29
"7",15,-5.535017,39.054253,"Tanzania","East African Coral Coast","Restricted","Crest","Exposed","Continent","Tim",39.04535556,-5.532488889,477,8,2019,12,11,19,296,296,19,0,0,19.340366,0.818275201,53,27.32197979,27.455,-0.134548179,-0.793681303,0.020050736,1.225478369,0.461297272,25.34290148,0.822450012,0.595600009,55.39500046,0.001747,8.218000412,4.750999928,0.114,1126.355957,3.27093792,0.550000012,1,0.648360933,0.592691772,0.869551976,0.542593925,0.697000027,0.690454,1.384832,0.011683,35.102688,6.3,22,0.366666667,83,1.383333333,32.38792034,92.38989626,211,0.008502594,0.607081471,21.11586101,3877.740891,0,38477.10547,6.731859684,0.15224,0.71818,0.16802,1.05045,1.05591,0.76178,183.75,51.5,112.75,0.011721459,41,30.68310928,14.32261864,0,100,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,50,0,3,1,0,0,0,0,1,0,2,3,0,1,0,7,0,1,0,0,0,0,0,4,0,0,10,0,0,47,0,0,6,13,0,0,0,0,0,0,6,0,24,0,0,0,0,296,19
"8",39,-5.647518,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Nyawira",39.00128,-5.64102,475,3,2016.66666666667,10.3333333333333,11,28,382.333333333333,382.333333333333,28,1.251360902,0.208560150333333,17.6737890333333,0.889085319666667,63.2063492066667,27.380061,27.525,-0.158600856,-0.795494018,0.021357877,1.218849076,0.464873868,30.26521871,0.825774997,0.625999987,54.93549919,0.001744,8.218500137,4.754000187,0.105,1150.677856,2.85774684,0.587500006,1,0.699514697,0.656533107,0.939738667,0.573744819,0.555999994,0.5616595,1.410148,0.012437,35.106329,7.5,20,0.333333333,107,1.783333333,19.63482764,90.73764712,196,0.512126397,0.587935432,25.23762087,1881.273614,0,3224.024414,2.645198584,0.13432,0.61917,0.16767,0.74099,0.91097,0.76178,35.75,40.75,96.5,-0.063087175,49,30.68310928,24.3357667,0.333333333333333,88.6666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,1.66666666666667,34,0,3,4,24.6666666666667,26.6666666666667,56.3333333333333,0.333333333333333,14,0.333333333333333,0,0.666666666666667,0,0.333333333333333,4.33333333333333,0,0.333333333333333,7.66666666666667,0,9.66666666666667,1.66666666666667,7.33333333333333,1.33333333333333,10.6666666666667,2.66666666666667,0,0,2.66666666666667,0,3.33333333333333,0,0,18.3333333333333,0.333333333333333,0,16,0,0,18,13.6666666666667,0,0,0,0,0.333333333333333,0,0,0.666666666666667,6,0,0,0,1,382,28
"9",39,-5.647518,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Exposed","Continent","Nyawira",39.006785,-5.644465,469.5,6.5,2012.5,10,14,29.5,335.5,335.5,29.5,0.304878049,0.043554007,16.668989245,0.853794776,56.366666665,27.380061,27.525,-0.158600856,-0.795494018,0.021357877,1.218849076,0.464873868,30.26521871,0.825774997,0.625999987,54.93549919,0.001744,8.218500137,4.754000187,0.105,1150.677856,2.85774684,0.587500006,1,0.699514697,0.656533107,0.939738667,0.573744819,0.555999994,0.5616595,1.410148,0.012437,35.106329,7.5,20,0.333333333,107,1.783333333,19.63482764,90.73764712,196,0.512126397,0.587935432,25.23762087,1881.273614,0,3224.024414,2.645198584,0.13432,0.61917,0.16767,0.74099,0.91097,0.76178,35.75,40.75,96.5,-0.063087175,49,30.68310928,24.3357667,1.5,93.5,0,0,1.5,0,0,0,0.5,0,0,0,1,2.5,16,0,5.5,4.5,15.5,0,59,0,1.5,0,3,0,0,2,5,0,0.5,1.5,0,8.5,2.5,2,4,2,1,0,2,0.5,0.5,1,0.5,0,20.5,0,0,24.5,0,0,15,19,0,0,0,0,13,0,0,3,1.5,0,0,0,0,336,30
"10",39,-5.647518,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Sheltered","Continent","Nyawira",39.005435,-5.64419,471,4.5,2013.75,11,8.75,30,350.5,350.5,30.25,1.7731247745,0.25330353925,16.1907520175,0.90167878425,50.66246345,27.380061,27.525,-0.158600856,-0.795494018,0.021357877,1.218849076,0.464873868,30.26521871,0.825774997,0.625999987,54.93549919,0.001744,8.218500137,4.754000187,0.105,1150.677856,2.85774684,0.587500006,1,0.699514697,0.656533107,0.939738667,0.573744819,0.555999994,0.5616595,1.410148,0.012437,35.106329,7.5,20,0.333333333,107,1.783333333,19.63482764,90.73764712,196,0.512126397,0.587935432,25.23762087,1881.273614,0,3224.024414,2.645198584,0.13432,0.61917,0.16767,0.74099,0.91097,0.76178,35.75,40.75,96.5,-0.063087175,49,30.68310928,24.3357667,2.75,51.5,1.5,0,3.75,0,0,0,2.5,0,0,0.25,0.75,2,17.75,0,11.75,11,20.5,4.5,50,0.75,9,0,0,0,0,1.25,9,0,2,5,0,8.5,1.75,4,3,1.75,0.25,0.25,0.5,1.75,1,2.75,0,0.25,26.25,0.25,0,19.25,1.25,0,25,39,0,0,0,0,0.75,0,1.25,3.25,1,0,0,0,0,350,30
