ID,Country,Ecoregion,SST_Median
1,Tanzania,East African Coral Coast,27.2861286
2,Tanzania,East African Coral Coast,27.32291794
3,Tanzania,East African Coral Coast,27.30562208
4,Tanzania,East African Coral Coast,27.33841842
5,Tanzania,East African Coral Coast,27.33182135
6,Tanzania,East African Coral Coast,27.31380093
7,Tanzania,East African Coral Coast,27.3023776
8,Tanzania,East African Coral Coast,27.3474231
9,Tanzania,East African Coral Coast,27.33402641
10,Tanzania,East African Coral Coast,27.32197979
11,Tanzania,East African Coral Coast,27.30993316
12,Tanzania,East African Coral Coast,27.3474231
13,Tanzania,East African Coral Coast,27.3474231
14,Tanzania,East African Coral Coast,27.33402641
15,Tanzania,East African Coral Coast,27.32197979
16,Tanzania,East African Coral Coast,27.30993316
17,Tanzania,East African Coral Coast,27.3586886
18,Tanzania,East African Coral Coast,27.3586886
19,Tanzania,East African Coral Coast,27.3586886
20,Tanzania,East African Coral Coast,27.3416166
21,Tanzania,East African Coral Coast,27.32873289
22,Tanzania,East African Coral Coast,27.31584917
23,Tanzania,East African Coral Coast,27.3699541
24,Tanzania,East African Coral Coast,27.3699541
25,Tanzania,East African Coral Coast,27.3699541
26,Tanzania,East African Coral Coast,27.3492068
27,Tanzania,East African Coral Coast,27.3912863
28,Tanzania,East African Coral Coast,27.37936785
29,Tanzania,East African Coral Coast,27.35540264
30,Tanzania,East African Coral Coast,27.34081011
31,Tanzania,East African Coral Coast,27.41512321
32,Tanzania,East African Coral Coast,27.40195241
33,Tanzania,East African Coral Coast,27.37519005
34,Tanzania,East African Coral Coast,27.36159849
35,Tanzania,East African Coral Coast,27.43013106
36,Tanzania,East African Coral Coast,27.42129651
37,Tanzania,East African Coral Coast,27.40792781
38,Tanzania,East African Coral Coast,27.39455911
39,Tanzania,East African Coral Coast,27.380061
40,Tanzania,East African Coral Coast,27.36556289
41,Tanzania,East African Coral Coast,27.43567926
42,Tanzania,East African Coral Coast,27.4274698
43,Tanzania,East African Coral Coast,27.38493195
44,Tanzania,East African Coral Coast,27.3695273
45,Tanzania,East African Coral Coast,27.22631342
46,Tanzania,East African Coral Coast,27.22087293
47,Tanzania,East African Coral Coast,27.21543244
48,Tanzania,East African Coral Coast,27.22631342
49,Tanzania,East African Coral Coast,27.22087293
50,Tanzania,East African Coral Coast,27.21543244
51,Tanzania,East African Coral Coast,27.21441094
52,Tanzania,East African Coral Coast,27.24730633
53,Tanzania,East African Coral Coast,27.24730633
54,Tanzania,East African Coral Coast,27.22632872
55,Tanzania,East African Coral Coast,27.22022789
56,Tanzania,East African Coral Coast,27.21412707
57,Tanzania,East African Coral Coast,27.21267555
58,Tanzania,East African Coral Coast,27.24799001
59,Tanzania,East African Coral Coast,27.23716702
60,Tanzania,East African Coral Coast,27.22634402
61,Tanzania,East African Coral Coast,27.21958286
62,Tanzania,East African Coral Coast,27.21094017
63,Tanzania,East African Coral Coast,27.20905862
64,Tanzania,East African Coral Coast,27.22273903
65,Tanzania,East African Coral Coast,27.2953401
66,Tanzania,East African Coral Coast,27.35339245
67,Tanzania,East African Coral Coast,27.34339507
68,Tanzania,East African Coral Coast,27.33521763
69,Tanzania,East African Coral Coast,27.32704018
70,Tanzania,East African Coral Coast,27.35036882
71,Tanzania,East African Coral Coast,27.33904655
72,Tanzania,East African Coral Coast,27.33904655
73,Tanzania,East African Coral Coast,27.34556289
74,Tanzania,East African Coral Coast,27.48058141
75,Tanzania,East African Coral Coast,27.36242692
76,Tanzania,East African Coral Coast,27.3554123
77,Tanzania,East African Coral Coast,27.36045579
78,Tanzania,East African Coral Coast,27.34556289
79,Tanzania,East African Coral Coast,27.40866987
80,Tanzania,East African Coral Coast,27.35774783
81,Tanzania,East African Coral Coast,27.3539938
82,Tanzania,East African Coral Coast,27.34754268
83,Tanzania,East African Coral Coast,27.40631422
84,Tanzania,East African Coral Coast,27.39663794
85,Tanzania,East African Coral Coast,27.36254791
86,Tanzania,East African Coral Coast,27.35908641
87,Tanzania,East African Coral Coast,27.3556249
88,Tanzania,East African Coral Coast,27.35257368
89,Tanzania,East African Coral Coast,27.34952247
90,Tanzania,East African Coral Coast,27.36159325
91,Tanzania,East African Coral Coast,27.35830085
92,Tanzania,East African Coral Coast,27.35500846
93,Tanzania,East African Coral Coast,27.35207582
94,Tanzania,East African Coral Coast,27.34914318
95,Tanzania,East African Coral Coast,27.3704872
96,Tanzania,East African Coral Coast,27.36556289
97,Tanzania,East African Coral Coast,27.36063859
98,Tanzania,East African Coral Coast,27.3575153
99,Tanzania,East African Coral Coast,27.35157795
100,Tanzania,East African Coral Coast,27.34876389
101,Tanzania,East African Coral Coast,27.3704872
102,Tanzania,East African Coral Coast,27.36556289
103,Tanzania,East African Coral Coast,27.36063859
104,Tanzania,East African Coral Coast,27.3575153
105,Tanzania,East African Coral Coast,27.35439201
106,Tanzania,East African Coral Coast,27.35157795
107,Tanzania,East African Coral Coast,27.34876389
108,Tanzania,East African Coral Coast,27.36379328
109,Tanzania,East African Coral Coast,27.35917821
110,Tanzania,East African Coral Coast,27.35279353
111,Tanzania,East African Coral Coast,27.34985203
112,Tanzania,East African Coral Coast,27.34691053
113,Tanzania,East African Coral Coast,27.37138911
114,Tanzania,East African Coral Coast,27.36632952
115,Tanzania,East African Coral Coast,27.36202368
116,Tanzania,East African Coral Coast,27.35771783
117,Tanzania,East African Coral Coast,27.35445643
118,Tanzania,East African Coral Coast,27.35119504
119,Tanzania,East African Coral Coast,27.34812611
120,Tanzania,East African Coral Coast,27.34505718
121,Tanzania,East African Coral Coast,27.37083488
122,Tanzania,East African Coral Coast,27.36555887
123,Tanzania,East African Coral Coast,27.36139958
124,Tanzania,East African Coral Coast,27.3572403
125,Tanzania,East African Coral Coast,27.35399561
126,Tanzania,East African Coral Coast,27.35075093
127,Tanzania,East African Coral Coast,27.34460944
128,Tanzania,East African Coral Coast,27.34460944
129,Tanzania,East African Coral Coast,27.37577307
130,Tanzania,East African Coral Coast,27.37028064
131,Tanzania,East African Coral Coast,27.36478821
132,Tanzania,East African Coral Coast,27.35030681
133,Tanzania,East African Coral Coast,27.34723426
134,Tanzania,East African Coral Coast,27.3441617
135,Tanzania,East African Coral Coast,27.3441617
136,Tanzania,East African Coral Coast,27.34086367
137,Tanzania,East African Coral Coast,27.36483894
138,Tanzania,East African Coral Coast,27.34695362
139,Tanzania,East African Coral Coast,27.34374859
140,Tanzania,East African Coral Coast,27.34374859
