"","ID","Lat","Lon","Country","Ecoregion","Management","Habitat","Observer","Depth","Coralcover","SSTRateofRise","PARmax","Calcite","Dis_oxygen","mean.waveNRJ","Salinity_mean","andrello_reef_value","andrello_nutrients","mean.npp","TT_market_hrs","TT_pop_hrs","cumDHW","SST_Kurtosis","SST_Median","ChlorA_median","Netflow","Outdegree","Indegree","Retention","andrello_sediments","Current_vel_mean","Diff_attenuation","Grav_NP","Grav_NC","PH","SST_bimodality","SST_Skewness","ClimateStressModel"
"1",1,-5.445001,39.076711,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,37,0.019076712,54.5965004,0.001107,4.748000145,3.472632408,35.189861,0,10.15266991,1176.713501,0.916666667,0.166666667,23.67236655,-0.801461646,27.41,0.483958177,0.144498484,74.75,98.25,14,67262.21875,0.516927,0.096999999,0.010211314,73.12206827,8.21750021,0.461356354,-0.121012804,0.613275006
"2",2,-5.467506,39.009337,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,43,0.020655479,56.24450111,0.0017155,4.748000145,2.644415855,35.096695,0,0,1139.112671,1.716666667,0.016666667,25.93539891,-0.776889772,27.445,0.660484076,0.144498484,74.75,98.25,14,0,0.5496995,0.110999998,23.64334869,21.02580561,8.218500137,0.457412924,-0.131190509,0.754299998
"3",3,-5.467506,39.054253,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,46,0.019799315,55.00600052,0.001843,4.748000145,3.179368496,35.109249,0,11.92891216,1139.112671,1.383333333,0.366666667,23.84246455,-0.791817813,27.43,0.543662578,0.144498484,74.75,98.25,14,84104.4375,0.54069,0.119999997,0.008502594,32.38792034,8.218000412,0.460026416,-0.127104815,0.626100004
"4",4,-5.490011,38.98688,"Tanzania","East African Coral Coast","Fished","Bank","Nyawira",10,45,0.021150685,57.21350098,0.0017095,4.749500036,2.644415855,35.083397,0,0,1139.112671,1.716666667,0.016666667,26.60275975,-0.771814155,27.46,0.685418025,0.144498484,74.75,98.25,14,0,0.5555185,0.096000001,23.64334869,21.02580561,8.218999863,0.457052924,-0.136858304,0.743375003
"5",5,-5.490011,39.009337,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,43,0.020813177,56.20700073,0.00175225,4.749500036,2.644415855,35.09468275,0,0,1139.112671,1.716666667,0.016666667,26.04857636,-0.777114566,27.455,0.685418025,0.144498484,74.75,98.25,14,0,0.58554525,0.1065,23.64334869,21.02580561,8.218500137,0.457941897,-0.135219665,0.7421
"6",6,-5.490011,39.054253,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,47,0.019996702,55.20050049,0.001795,4.749500036,3.179368496,35.1059685,0,11.92891216,1139.112671,1.383333333,0.366666667,24.65954869,-0.792840229,27.4425,0.530031055,0.144498484,74.75,98.25,14,84104.4375,0.615572,0.116999999,0.008502594,32.38792034,8.218000412,0.460680241,-0.130877292,0.627550006
"7",7,-5.490011,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,45,0.019214343,54.74700069,0.00107525,4.749500036,3.714320898,35.16764625,0,8.388602257,1139.112671,1.383333333,0.366666667,24.13326328,-0.80332956,27.435,0.465182036,0.144498484,74.75,98.25,14,53540.00781,0.5419915,0.09475,0.008502594,32.38792034,8.21750021,0.46255616,-0.128135763,0.596375003
"8",8,-5.512514,38.98688,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,45,0.021371054,56.94400024,0.001831,4.750999928,2.747538805,35.082653,0,6.515204906,1125.218506,1.716666667,0.016666667,26.86051258,-0.771984619,27.47,0.608871311,0.011721459,51.5,112.75,183.75,35705.53906,0.552328,0.090000004,23.64334869,21.02580561,8.218999863,0.457584572,-0.140844559,0.737700015
"9",9,-5.512514,39.031795,"Tanzania","East African Coral Coast","UnfishedLow","Bank","Nyawira",10,50,0.020746812,55.39500046,0.001747,4.750999928,3.27093792,35.102688,0,6.731859684,1126.355957,1.383333333,0.366666667,25.78369337,-0.782309794,27.46,0.808648527,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.008502594,32.38792034,8.218000412,0.459285099,-0.137422795,0.679450005
"10",10,-5.512514,39.054253,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Backreef","Nyawira",10,48,0.020050736,55.39500046,0.001747,4.750999928,3.27093792,35.102688,0,6.731859684,1126.355957,1.383333333,0.366666667,25.34290148,-0.793681303,27.455,0.70052138,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.008502594,32.38792034,8.218000412,0.461297272,-0.134548179,0.629000008
"11",11,-5.512514,39.076711,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,46,0.019140538,54.89750099,0.0010435,4.750999928,3.794336796,35.1454315,0,4.821800232,1126.355957,1.383333333,0.366666667,24.23639598,-0.805072691,27.45,0.546679989,0.011721459,51.5,112.75,183.75,25217.08789,0.567056,0.092500001,0.008502594,32.38792034,8.21750021,0.463327986,-0.131556603,0.581799984
"12",12,-5.535017,38.964422,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,45,0.021371054,56.94400024,0.001831,4.750999928,2.13643527,35.082653,0,6.515204906,1125.218506,1.716666667,0.016666667,26.86051258,-0.771984619,27.47,0.609657228,-0.063087175,40.75,96.5,35.75,35705.53906,0.552328,0.090000004,23.64334869,21.02580561,8.218999863,0.457584572,-0.140844559,0.745500028
"13",13,-5.535017,38.98688,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,45,0.021371054,56.94400024,0.001831,4.750999928,2.747538805,35.082653,0,6.515204906,1125.218506,1.716666667,0.016666667,26.86051258,-0.771984619,27.47,0.608886793,-0.063087175,40.75,96.5,35.75,35705.53906,0.552328,0.090000004,23.64334869,21.02580561,8.218999863,0.457584572,-0.140844559,0.722500011
"14",14,-5.535017,39.031795,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,42,0.020746812,55.39500046,0.001747,4.750999928,3.27093792,35.102688,0,6.731859684,1126.355957,1.383333333,0.366666667,25.78369337,-0.782309794,27.46,0.662649095,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.008502594,32.38792034,8.218000412,0.459285099,-0.137422795,0.647550002
"15",15,-5.535017,39.054253,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,41,0.020050736,55.39500046,0.001747,4.750999928,3.27093792,35.102688,0,6.731859684,1126.355957,1.383333333,0.366666667,25.34290148,-0.793681303,27.455,0.592691772,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.008502594,32.38792034,8.218000412,0.461297272,-0.134548179,0.595600009
"16",16,-5.535017,39.076711,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,38,0.019140538,54.89750099,0.0010435,4.750999928,3.794336796,35.1454315,0,4.821800232,1126.355957,1.383333333,0.366666667,24.23639598,-0.805072691,27.45,0.444593824,0.011721459,51.5,112.75,183.75,25217.08789,0.567056,0.092500001,0.008502594,32.38792034,8.21750021,0.463327986,-0.131556603,0.583574995
"17",17,-5.557519,38.941964,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,46,0.021604795,56.94400024,0.001831,4.750999928,3.794336796,35.082653,0,6.515204906,1126.355957,1.416666667,0.166666667,27.88613501,-0.774157788,27.485,0.843866587,-0.063087175,40.75,96.5,35.75,35705.53906,0.552328,0.090000004,0.111703299,30.8404141,8.218999863,0.458716347,-0.146160028,0.743200004
"18",18,-5.557519,38.964422,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,46,0.021604795,56.94400024,0.001831,4.750999928,2.16918087,35.082653,0,6.515204906,1129.901611,1.416666667,0.166666667,27.88613501,-0.774157788,27.485,0.751318902,-0.063087175,40.75,96.5,35.75,35705.53906,0.552328,0.090000004,0.111703299,30.8404141,8.218999863,0.458716347,-0.146160028,0.745500028
"19",19,-5.557519,38.98688,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,46,0.021604795,56.94400024,0.001831,4.750999928,2.784274817,35.082653,0,6.515204906,1129.901611,1.416666667,0.166666667,27.88613501,-0.774157788,27.485,0.614627421,-0.063087175,40.75,96.5,35.75,35705.53906,0.552328,0.090000004,0.111703299,30.8404141,8.218999863,0.458716347,-0.146160028,0.707300007
"20",20,-5.557519,39.031795,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,42,0.020742466,55.39500046,0.001747,4.750999928,3.257788658,35.102688,0,6.731859684,1120.049561,1.85,0.566666667,27.04153574,-0.785144643,27.47,0.615595281,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.131119585,0.209303997,8.218000412,0.460326448,-0.141032668,0.615649998
"21",21,-5.557519,39.054253,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,41,0.019955479,55.39500046,0.001747,4.750999928,3.257788658,35.102688,0,6.731859684,1120.049561,1.85,0.566666667,26.16119507,-0.796661116,27.4675,0.476379246,0.011721459,51.5,112.75,183.75,38477.10547,0.690454,0.114,0.131119585,0.209303997,8.218000412,0.462316792,-0.137752387,0.56220001
"22",22,-5.557519,39.076711,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,39,0.019079655,54.89750099,0.0010435,4.750999928,3.731302261,35.1454315,0,4.821800232,1120.049561,1.85,0.566666667,24.61947983,-0.80818665,27.455,0.389051549,0.011721459,51.5,112.75,183.75,25217.08789,0.567056,0.092500001,0.131119585,0.209303997,8.21750021,0.464327689,-0.134373515,0.56129998
"23",23,-5.58002,38.941964,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,44,0.021862022,56.20199966,0.0022715,4.752500057,3.731302261,35.0947495,0,3.2276299,1120.049561,1.416666667,0.166666667,29.09566839,-0.776120232,27.5,0.843866587,-0.063087175,40.75,96.5,35.75,8847.933594,0.472735,0.108000003,0.111703299,30.8404141,8.218999863,0.45980715,-0.151291624,0.739750013
"24",24,-5.58002,38.964422,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,44,0.021862022,56.20199966,0.0022715,4.752500057,2.16918087,35.0947495,0,3.2276299,1129.901611,1.416666667,0.166666667,29.09566839,-0.776120232,27.5,0.778713256,-0.063087175,40.75,96.5,35.75,8847.933594,0.472735,0.108000003,0.111703299,30.8404141,8.218999863,0.45980715,-0.151291624,0.736300021
"25",25,-5.58002,38.98688,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,44,0.021862022,56.20199966,0.0022715,4.752500057,2.784274817,35.0947495,0,3.2276299,1129.901611,1.416666667,0.166666667,29.09566839,-0.776120232,27.5,0.740427941,-0.063087175,40.75,96.5,35.75,8847.933594,0.472735,0.108000003,0.111703299,30.8404141,8.218999863,0.45980715,-0.151291624,0.692150012
"26",26,-5.58002,39.031795,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,41,0.020687215,54.90299988,0.0012615,4.752500057,3.257788658,35.10425,0,3.34372735,1120.049561,1.85,0.566666667,28.32309732,-0.787798753,27.48,0.520994328,-0.063087175,40.75,96.5,35.75,11642.99805,0.7103155,0.098999999,0.131119585,0.209303997,8.218000412,0.46132773,-0.144513735,0.599250004
"27",27,-5.60252,38.941964,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,43,0.022713903,55.45999908,0.002712,4.754000187,1.559094548,35.106846,0,3.2276299,1157.602417,1.416666667,0.166666667,30.77501848,-0.777758231,27.52666667,0.806329042,-0.063087175,40.75,96.5,35.75,8847.933594,0.393142,0.126000002,0.111703299,30.8404141,8.218999863,0.461555764,-0.161316778,0.736300021
"28",28,-5.60252,38.98688,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,43,0.022190535,55.45999908,0.002712,4.754000187,2.821010828,35.106846,0,3.2276299,1129.821533,1.416666667,0.166666667,29.95564138,-0.779432963,27.515,0.805371642,-0.063087175,40.75,96.5,35.75,8847.933594,0.393142,0.126000002,0.111703299,30.8404141,8.218999863,0.461128859,-0.155890469,0.677000016
"29",29,-5.60252,39.031795,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,40,0.020664384,54.4109993,0.000776,4.754000187,3.244639158,35.105812,0,3.34372735,1135.550049,1.85,0.566666667,28.74834643,-0.792287227,27.495,0.563793927,-0.063087175,40.75,96.5,35.75,11642.99805,0.730177,0.083999999,0.131119585,0.209303997,8.218000412,0.462688001,-0.147707938,0.582850009
"30",30,-5.60252,39.054253,"Tanzania","East African Coral Coast","Fished","Slope","Nyawira",10,39,0.019682902,54.4109993,0.000776,4.754000187,3.244639158,35.105812,0,3.34372735,1135.550049,1.85,0.566666667,27.568332,-0.803946695,27.485,0.376177981,-0.006236388,36.75,49.5,62.25,11642.99805,0.730177,0.083999999,0.131119585,0.209303997,8.218000412,0.464598896,-0.143599273,0.538800001
"31",31,-5.62502,38.919506,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,42,0.023549902,55.45999908,0.002712,4.754000187,1.559094548,35.106846,0,3.307531118,1157.602417,2.083333333,0.016666667,33.68095498,-0.774199754,27.55,0.859614104,-0.063087175,40.75,96.5,35.75,4204.736328,0.393142,0.126000002,16.674757,14.35857019,8.218999863,0.462377702,-0.171742839,0.745500028
"32",32,-5.62502,38.941964,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,43,0.02292157,55.45999908,0.002712,4.754000187,1.559094548,35.106846,0,3.307531118,1157.602417,1.416666667,0.166666667,31.59872944,-0.778401361,27.54,0.859614104,-0.063087175,40.75,96.5,35.75,4204.736328,0.393142,0.126000002,0.111703299,30.8404141,8.218999863,0.46239774,-0.166124667,0.736300021
"33",33,-5.62502,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Backreef","Nyawira",10,50,0.021562659,54.93549919,0.001744,4.754000187,2.821010828,35.106329,0,2.645198584,1129.821533,1.416666667,0.166666667,29.42124179,-0.789620665,27.515,0.669073626,-0.063087175,40.75,96.5,35.75,3224.024414,0.5616595,0.105,0.111703299,30.8404141,8.218500137,0.463209029,-0.155574638,0.626450002
"34",34,-5.62502,39.031795,"Tanzania","East African Coral Coast","UnfishedLow","Lagoon/Backreef","Nyawira",10,48,0.020678082,54.4109993,0.000776,4.754000187,3.244639158,35.105812,0,1.724681973,1135.550049,1.85,0.566666667,28.79113809,-0.796595472,27.5,0.457345106,-0.063087175,40.75,96.5,35.75,2168.688721,0.730177,0.083999999,0.131119585,0.209303997,8.218000412,0.464002663,-0.150738008,0.582175002
"35",35,-5.647518,38.897048,"Tanzania","East African Coral Coast","Fished","Bank","Nyawira",10,42,0.024275273,55.45999908,0.002712,4.754000187,0.92793566,NA,0,3.307531118,1135.550049,2.183333333,0.7,35.01787461,-0.775142709,27.565,0.887033552,-0.063087175,40.75,96.5,35.75,4204.736328,NA,0.126000002,0.024401866,13.02896801,8.218999863,0.463672242,-0.178719631,0.745350003
"36",36,-5.647518,38.919506,"Tanzania","East African Coral Coast","Fished","Bank","Nyawira",10,42,0.023752829,55.45999908,0.002712,4.754000187,1.581303596,35.106846,0,3.307531118,1152.251953,2.183333333,0.7,33.70248329,-0.77775013,27.56,0.887033552,-0.063087175,40.75,96.5,35.75,4204.736328,0.393142,0.126000002,0.024401866,13.02896801,8.218999863,0.463637525,-0.175084392,0.745500028
"37",37,-5.647518,38.941964,"Tanzania","East African Coral Coast","Fished","Bank","Nyawira",10,42,0.023026453,55.45999908,0.002712,4.754000187,1.581303596,35.106846,0,3.307531118,1152.251953,1.783333333,0.333333333,32.50632735,-0.782725574,27.5475,0.887033552,-0.063087175,40.75,96.5,35.75,4204.736328,0.393142,0.126000002,0.512126397,19.63482764,8.218999863,0.463809915,-0.169499563,0.736300021
"38",38,-5.647518,38.964422,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,43,0.022314473,55.45999908,0.002712,4.754000187,2.234671593,35.106846,0,2.645198584,1142.650024,1.783333333,0.333333333,30.52482523,-0.787711514,27.535,0.830393672,-0.063087175,40.75,96.5,35.75,3224.024414,0.393142,0.126000002,0.512126397,19.63482764,8.218999863,0.463982119,-0.163702971,0.727100015
"39",39,-5.647518,39.009337,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,49,0.021357877,54.93549919,0.001744,4.754000187,2.85774684,35.106329,0,2.645198584,1150.677856,1.783333333,0.333333333,30.26521871,-0.795494018,27.525,0.656533107,-0.063087175,40.75,96.5,35.75,3224.024414,0.5616595,0.105,0.512126397,19.63482764,8.218500137,0.464873868,-0.158600856,0.625999987
"40",40,-5.647518,39.031795,"Tanzania","East African Coral Coast","UnfishedLow","Slope","Nyawira",10,47,0.020577055,54.4109993,0.000776,4.754000187,3.231489897,35.105812,0,1.724681973,1129.821533,1.6,0.766666667,29.6171256,-0.803207243,27.51,0.531361312,-0.063087175,40.75,96.5,35.75,2168.688721,0.730177,0.083999999,0.005683113,0.281952723,8.218000412,0.465765853,-0.153390709,0.581499994
"41",41,-5.670016,38.897048,"Tanzania","East African Coral Coast","Fished","Lagoon/Backreef","Nyawira",10,41,0.024485975,55.01300049,0.004282,4.762000084,0.917649806,35.086376,0,0,1239.981567,2.183333333,0.7,35.62339429,-0.778275503,27.575,0.917440981,0.363014936,62.5,36.5,5,0,0.536622,0.082999997,0.024401866,13.02896801,8.218999863,0.464779365,-0.181517611,0.745099992
