Model,TheilU,Deviance,Correlation,R2,RMSE
BRTgbm_Predictors1,0.21,1.03,0.67,0.46,4.464161475989495
BRTgbm_Predictors2,0.22,1.03,0.67,0.45,4.496562211577053
BRTgbm_Predictorsfull1,0.13,0.44,0.91,0.82,2.807103119888787
BRTgbm_Predictors2full,0.13,0.44,0.91,0.82,2.8109131755451457
Climate vars,0.17,0.73,0.83,0.7,3.6764239513081924
Human vars,0.19,0.89,0.79,0.62,4.085438351058255
Climate vars train,0.22,1.1,0.64,0.41,4.671383480575815
Human vars train,0.22,1.13,0.64,0.41,4.61840724102998
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
