Province,no_coral_taxa,no_reef_cells,Ecoregion,Country
Western Indian Ocean Province,21.1 (4.7),7039,NA,NA
NA,20.6 (1.5),113,Bight of Sofala/Swamp Coast,NA
NA,17.2 (2.2),141,Cargados Carajos/Tromelin Island,NA
NA,17.4 (1.4),96,Delagoa,NA
NA,25.5 (2.9),2743,East African Coral Coast,NA
NA,16.3 (2.3),196,Mascarene Islands,NA
NA,20.7 (1.4),130,Northern Monsoon Current Coast,NA
NA,20.4 (1.3),701,Seychelles,NA
NA,14.8 (1.2),65,Southeast Madagascar,NA
NA,17.9 (3.7),2854,Western and Northern Madagascar,NA
NA,23.5 (1.8),238,NA,Comoros
NA,15.2 (2.1),138,NA,French Southern Territories
NA,21.6 (2.5),372,NA,Kenya
NA,16.5 (2),2282,NA,Madagascar
NA,16.8 (2.3),304,NA,Mauritius
NA,25.6 (1.9),269,NA,Mayotte
NA,24.5 (3.3),1180,NA,Mozambique
NA,16.6 (1.9),25,NA,Reunion
NA,20.4 (1.3),701,NA,Seychelles
NA,20.3 (0.8),6,NA,South Africa
NA,25.9 (2.9),1524,NA,Tanzania
